date,hr,ep,te,dp,rh,cc,ws,pr,pi,pp,Y
2021-01-08,8,1610092800,-1.93,-3.35,0.9,0.94,1.59,1016.9,0,0,1
2021-01-09,8,1610179200,2.34,1.07,0.91,0.28,3.82,1025.1,0,0,0
2021-01-10,8,1610265600,-0.72,-2.51,0.88,0.23,3.82,1025.6,0,0,1
2021-01-11,8,1610352000,2.33,1.21,0.92,0.75,5.73,1020.3,0,0,0
2021-01-12,8,1610438400,7.11,5.94,0.92,1,5.01,1010.4,0.1313,0.51,0
2021-01-13,8,1610524800,1.89,-0.74,0.83,0.95,2.83,1019.9,0.2067,0.12,0
2021-01-14,8,1610611200,5,4.39,0.96,1,7.93,1016,1.1574,0.79,0
2021-01-15,8,1610697600,2.99,1.27,0.88,0.76,4.75,1028,0.0427,0.12,1
2021-01-16,8,1610784000,2.09,1.02,0.93,1,6.7,1024.1,1.0182,0.59,1
2021-01-17,8,1610870400,3.35,2.21,0.92,0.35,6.38,1021.5,0,0,0
2021-01-18,8,1610956800,3.26,1.34,0.87,0.73,5.12,1024.2,0,0,1
2021-01-19,8,1611043200,9.75,8,0.89,1,9.82,1006.2,0.0132,0.13,0
2021-01-20,8,1611129600,9.28,7.64,0.89,1,11.44,992.8,0.2411,0.33,0
